model,feature,step_pct,cknna,cos_dist,n_eps,n_with_feat,random_mean,random_std
motus,V-D1,0,0.7084662318229675,0.015370012260973454,20,20,0.4731127262115479,0.057864194952985455
motus,V-D1,25,0.8894462585449219,0.008768533356487751,20,20,0.4731127262115479,0.057864194952985455
motus,V-D1,50,0.836189329624176,0.010618245229125023,20,20,0.4731127262115479,0.057864194952985455
motus,V-D1,75,0.8871223330497742,0.015389851294457912,20,20,0.4731127262115479,0.057864194952985455
motus,V-D1,100,0.8870077729225159,0.01807313784956932,20,20,0.4731127262115479,0.057864194952985455
motus,V-B0,0,0.7338482737541199,0.00017836062761489302,20,20,0.4731127262115479,0.057864194952985455
motus,V-B0,25,0.8401339650154114,0.00038391415728256106,20,20,0.4731127262115479,0.057864194952985455
motus,V-B0,50,0.900822639465332,0.0006744635757058859,20,20,0.4731127262115479,0.057864194952985455
motus,V-B0,75,0.8379500508308411,0.0016745354514569044,20,20,0.4731127262115479,0.057864194952985455
motus,V-B0,100,0.8649325966835022,0.0033657648600637913,20,20,0.4731127262115479,0.057864194952985455
motus,V-B7,0,0.7784877419471741,0.0034974543377757072,20,20,0.4731127262115479,0.057864194952985455
motus,V-B7,25,0.8433619737625122,0.005623571574687958,20,20,0.4731127262115479,0.057864194952985455
motus,V-B7,50,0.874511182308197,0.005923126824200153,20,20,0.4731127262115479,0.057864194952985455
motus,V-B7,75,0.8252435922622681,0.006284450180828571,20,20,0.4731127262115479,0.057864194952985455
motus,V-B7,100,0.8126896023750305,0.005669169127941132,20,20,0.4731127262115479,0.057864194952985455
motus,V-B14,0,0.8474408388137817,0.007216220255941153,20,20,0.4731127262115479,0.057864194952985455
motus,V-B14,25,0.8708818554878235,0.006422192323952913,20,20,0.4731127262115479,0.057864194952985455
motus,V-B14,50,0.870881199836731,0.006506434176117182,20,20,0.4731127262115479,0.057864194952985455
motus,V-B14,75,0.8456588387489319,0.006211126688867807,20,20,0.4731127262115479,0.057864194952985455
motus,V-B14,100,0.8487691283226013,0.0056562237441539764,20,20,0.4731127262115479,0.057864194952985455
motus,V-B21,0,0.8107766509056091,0.01071203127503395,20,20,0.4731127262115479,0.057864194952985455
motus,V-B21,25,0.8496479988098145,0.009236725978553295,20,20,0.4731127262115479,0.057864194952985455
