model,group,N,feats_A_variant,feats_B_type,horizon,cknna_k10,mutual_knn_k10
Qwen-GR00T-Bridge,L,3245,vit_raw,proprio_seq_dtw,1,0.043417,0.048968
Qwen-GR00T-Bridge,L,3245,vit_raw,proprio_seq_dtw,3,0.07044,0.074792
Qwen-GR00T-Bridge,L,3245,vit_raw,proprio_seq_dtw,7,0.061295,0.067673
Qwen-GR00T-Bridge,L,3245,vit_raw,proprio_seq_dtw,15,0.056903,0.060863
Qwen-GR00T-Bridge,L,3245,vit_raw,proprio_seq_dtw,25,0.060891,0.064684
Qwen-GR00T-Bridge,L,3245,vit_raw,proprio_seq_dtw,40,0.061075,0.065116
Qwen-GR00T-Bridge,L,3245,pre_llm,proprio_seq_dtw,1,0.043289,0.049214
Qwen-GR00T-Bridge,L,3245,pre_llm,proprio_seq_dtw,3,0.072073,0.078798
Qwen-GR00T-Bridge,L,3245,pre_llm,proprio_seq_dtw,7,0.063122,0.070601
Qwen-GR00T-Bridge,L,3245,pre_llm,proprio_seq_dtw,15,0.057774,0.062126
Qwen-GR00T-Bridge,L,3245,pre_llm,proprio_seq_dtw,25,0.06171,0.064992
Qwen-GR00T-Bridge,L,3245,pre_llm,proprio_seq_dtw,40,0.061223,0.065085
Qwen-GR00T-Bridge,L,3245,pre_llm_txt,proprio_seq_dtw,1,0.004622,0.006934
Qwen-GR00T-Bridge,L,3245,pre_llm_txt,proprio_seq_dtw,3,0.007829,0.009738
Qwen-GR00T-Bridge,L,3245,pre_llm_txt,proprio_seq_dtw,7,0.007883,0.010293
Qwen-GR00T-Bridge,L,3245,pre_llm_txt,proprio_seq_dtw,15,0.010965,0.013467
Qwen-GR00T-Bridge,L,3245,pre_llm_txt,proprio_seq_dtw,25,0.017218,0.019168
Qwen-GR00T-Bridge,L,3245,pre_llm_txt,proprio_seq_dtw,40,0.018974,0.022373
Qwen-GR00T-Bridge,L,3245,pre_llm_vt,proprio_seq_dtw,1,0.043289,0.049183
Qwen-GR00T-Bridge,L,3245,pre_llm_vt,proprio_seq_dtw,3,0.072073,0.078798
Qwen-GR00T-Bridge,L,3245,pre_llm_vt,proprio_seq_dtw,7,0.063122,0.070601
Qwen-GR00T-Bridge,L,3245,pre_llm_vt,proprio_seq_dtw,15,0.057774,0.062126
Qwen-GR00T-Bridge,L,3245,pre_llm_vt,proprio_seq_dtw,25,0.061709,0.064992
Qwen-GR00T-Bridge,L,3245,pre_llm_vt,proprio_seq_dtw,40,0.061223,0.065085
Qwen-GR00T-Bridge,L,3245,img,proprio_seq_dtw,1,0.046444,0.054268
Qwen-GR00T-Bridge,L,3245,img,proprio_seq_dtw,3,0.074723,0.082681
Qwen-GR00T-Bridge,L,3245,img,proprio_seq_dtw,7,0.068717,0.075069
Qwen-GR00T-Bridge,L,3245,img,proprio_seq_dtw,15,0.062,0.066749
Qwen-GR00T-Bridge,L,3245,img,proprio_seq_dtw,25,0.065369,0.068413
Qwen-GR00T-Bridge,L,3245,img,proprio_seq_dtw,40,0.064789,0.067488
Qwen-GR00T-Bridge,L,3245,txt,proprio_seq_dtw,1,0.017281,0.020555
Qwen-GR00T-Bridge,L,3245,txt,proprio_seq_dtw,3,0.028466,0.031988
Qwen-GR00T-Bridge,L,3245,txt,proprio_seq_dtw,7,0.035142,0.03624
Qwen-GR00T-Bridge,L,3245,txt,proprio_seq_dtw,15,0.045348,0.04376
Qwen-GR00T-Bridge,L,3245,txt,proprio_seq_dtw,25,0.058812,0.053374
Qwen-GR00T-Bridge,L,3245,txt,proprio_seq_dtw,40,0.061831,0.056918
Qwen-GR00T-Bridge,L,3245,imgtext,proprio_seq_dtw,1,0.045846,0.053498
Qwen-GR00T-Bridge,L,3245,imgtext,proprio_seq_dtw,3,0.075516,0.082835
Qwen-GR00T-Bridge,L,3245,imgtext,proprio_seq_dtw,7,0.07483,0.08074
Qwen-GR00T-Bridge,L,3245,imgtext,proprio_seq_dtw,15,0.072565,0.075809
Qwen-GR00T-Bridge,L,3245,imgtext,proprio_seq_dtw,25,0.078017,0.078521
Qwen-GR00T-Bridge,L,3245,imgtext,proprio_seq_dtw,40,0.075585,0.077904
Qwen-GR00T-Bridge-RT-1,L,3245,vit_raw,proprio_seq_dtw,1,0.040723,0.047581
Qwen-GR00T-Bridge-RT-1,L,3245,vit_raw,proprio_seq_dtw,3,0.066812,0.073251
Qwen-GR00T-Bridge-RT-1,L,3245,vit_raw,proprio_seq_dtw,7,0.059133,0.067057
Qwen-GR00T-Bridge-RT-1,L,3245,vit_raw,proprio_seq_dtw,15,0.05526,0.06074
Qwen-GR00T-Bridge-RT-1,L,3245,vit_raw,proprio_seq_dtw,25,0.06097,0.064037
Qwen-GR00T-Bridge-RT-1,L,3245,vit_raw,proprio_seq_dtw,40,0.060896,0.06527
Qwen-GR00T-Bridge-RT-1,L,3245,pre_llm,proprio_seq_dtw,1,0.041563,0.048598
Qwen-GR00T-Bridge-RT-1,L,3245,pre_llm,proprio_seq_dtw,3,0.067557,0.075716
Qwen-GR00T-Bridge-RT-1,L,3245,pre_llm,proprio_seq_dtw,7,0.05888,0.067643
Qwen-GR00T-Bridge-RT-1,L,3245,pre_llm,proprio_seq_dtw,15,0.055399,0.060955
Qwen-GR00T-Bridge-RT-1,L,3245,pre_llm,proprio_seq_dtw,25,0.059552,0.063852
Qwen-GR00T-Bridge-RT-1,L,3245,pre_llm,proprio_seq_dtw,40,0.059572,0.064715
Qwen-GR00T-Bridge-RT-1,L,3245,pre_llm_txt,proprio_seq_dtw,1,0.004852,0.006934
Qwen-GR00T-Bridge-RT-1,L,3245,pre_llm_txt,proprio_seq_dtw,3,0.008082,0.0098
Qwen-GR00T-Bridge-RT-1,L,3245,pre_llm_txt,proprio_seq_dtw,7,0.008013,0.010324
Qwen-GR00T-Bridge-RT-1,L,3245,pre_llm_txt,proprio_seq_dtw,15,0.010962,0.013467
Qwen-GR00T-Bridge-RT-1,L,3245,pre_llm_txt,proprio_seq_dtw,25,0.017078,0.019137
Qwen-GR00T-Bridge-RT-1,L,3245,pre_llm_txt,proprio_seq_dtw,40,0.018833,0.02225
Qwen-GR00T-Bridge-RT-1,L,3245,pre_llm_vt,proprio_seq_dtw,1,0.041561,0.048598
Qwen-GR00T-Bridge-RT-1,L,3245,pre_llm_vt,proprio_seq_dtw,3,0.067553,0.075716
Qwen-GR00T-Bridge-RT-1,L,3245,pre_llm_vt,proprio_seq_dtw,7,0.058877,0.067643
Qwen-GR00T-Bridge-RT-1,L,3245,pre_llm_vt,proprio_seq_dtw,15,0.055396,0.060986
Qwen-GR00T-Bridge-RT-1,L,3245,pre_llm_vt,proprio_seq_dtw,25,0.059549,0.063883
Qwen-GR00T-Bridge-RT-1,L,3245,pre_llm_vt,proprio_seq_dtw,40,0.059569,0.064746
Qwen-GR00T-Bridge-RT-1,L,3245,img,proprio_seq_dtw,1,0.045477,0.054545
Qwen-GR00T-Bridge-RT-1,L,3245,img,proprio_seq_dtw,3,0.064451,0.075069
Qwen-GR00T-Bridge-RT-1,L,3245,img,proprio_seq_dtw,7,0.057165,0.065485
Qwen-GR00T-Bridge-RT-1,L,3245,img,proprio_seq_dtw,15,0.052307,0.058398
Qwen-GR00T-Bridge-RT-1,L,3245,img,proprio_seq_dtw,25,0.056007,0.059414
Qwen-GR00T-Bridge-RT-1,L,3245,img,proprio_seq_dtw,40,0.054162,0.059384
Qwen-GR00T-Bridge-RT-1,L,3245,txt,proprio_seq_dtw,1,0.012355,0.018028
Qwen-GR00T-Bridge-RT-1,L,3245,txt,proprio_seq_dtw,3,0.026315,0.029985
Qwen-GR00T-Bridge-RT-1,L,3245,txt,proprio_seq_dtw,7,0.031291,0.032296
Qwen-GR00T-Bridge-RT-1,L,3245,txt,proprio_seq_dtw,15,0.033589,0.034145
