model,group,N,feats_A_variant,feats_B_type,horizon,cknna_k10,mutual_knn_k10
Qwen-GR00T-Bridge,L,6000,vit_raw,proprio_seq_dtw,1,0.033239,0.030267
Qwen-GR00T-Bridge,L,6000,vit_raw,proprio_seq_dtw,3,0.032819,0.030167
Qwen-GR00T-Bridge,L,6000,vit_raw,proprio_seq_dtw,7,0.03442,0.031
Qwen-GR00T-Bridge,L,6000,vit_raw,proprio_seq_dtw,15,0.037555,0.0329
Qwen-GR00T-Bridge,L,6000,vit_raw,proprio_seq_dtw,25,0.040438,0.035017
Qwen-GR00T-Bridge,L,6000,vit_raw,proprio_seq_dtw,40,0.04747,0.039733
Qwen-GR00T-Bridge,L,6000,vit_raw,proprio_seq_dtw,75,0.061051,0.047683
Qwen-GR00T-Bridge,L,6000,vit_raw,proprio_seq_dtw,110,0.073239,0.054733
Qwen-GR00T-Bridge,L,6000,vit_raw,proprio_seq_dtw,150,0.084899,0.060383
Qwen-GR00T-Bridge,L,6000,vit_raw,proprio_seq_dtw,220,0.095698,0.066833
Qwen-GR00T-Bridge,L,6000,pre_llm,proprio_seq_dtw,1,0.032295,0.030683
Qwen-GR00T-Bridge,L,6000,pre_llm,proprio_seq_dtw,3,0.031789,0.030533
Qwen-GR00T-Bridge,L,6000,pre_llm,proprio_seq_dtw,7,0.033458,0.031367
Qwen-GR00T-Bridge,L,6000,pre_llm,proprio_seq_dtw,15,0.036354,0.033233
Qwen-GR00T-Bridge,L,6000,pre_llm,proprio_seq_dtw,25,0.039978,0.035133
Qwen-GR00T-Bridge,L,6000,pre_llm,proprio_seq_dtw,40,0.046253,0.039733
Qwen-GR00T-Bridge,L,6000,pre_llm,proprio_seq_dtw,75,0.059087,0.047567
Qwen-GR00T-Bridge,L,6000,pre_llm,proprio_seq_dtw,110,0.071057,0.054317
Qwen-GR00T-Bridge,L,6000,pre_llm,proprio_seq_dtw,150,0.081985,0.059333
Qwen-GR00T-Bridge,L,6000,pre_llm,proprio_seq_dtw,220,0.092125,0.065583
Qwen-GR00T-Bridge,L,6000,pre_llm_txt,proprio_seq_dtw,1,0.006852,0.007817
Qwen-GR00T-Bridge,L,6000,pre_llm_txt,proprio_seq_dtw,3,0.007003,0.007817
Qwen-GR00T-Bridge,L,6000,pre_llm_txt,proprio_seq_dtw,7,0.00784,0.008383
Qwen-GR00T-Bridge,L,6000,pre_llm_txt,proprio_seq_dtw,15,0.009179,0.0097
Qwen-GR00T-Bridge,L,6000,pre_llm_txt,proprio_seq_dtw,25,0.010352,0.010717
Qwen-GR00T-Bridge,L,6000,pre_llm_txt,proprio_seq_dtw,40,0.0129,0.012717
Qwen-GR00T-Bridge,L,6000,pre_llm_txt,proprio_seq_dtw,75,0.017404,0.015583
Qwen-GR00T-Bridge,L,6000,pre_llm_txt,proprio_seq_dtw,110,0.022625,0.019467
Qwen-GR00T-Bridge,L,6000,pre_llm_txt,proprio_seq_dtw,150,0.026743,0.0217
Qwen-GR00T-Bridge,L,6000,pre_llm_txt,proprio_seq_dtw,220,0.031999,0.025167
Qwen-GR00T-Bridge,L,6000,pre_llm_vt,proprio_seq_dtw,1,0.032294,0.030683
Qwen-GR00T-Bridge,L,6000,pre_llm_vt,proprio_seq_dtw,3,0.031788,0.030533
Qwen-GR00T-Bridge,L,6000,pre_llm_vt,proprio_seq_dtw,7,0.033457,0.031367
Qwen-GR00T-Bridge,L,6000,pre_llm_vt,proprio_seq_dtw,15,0.036353,0.033233
Qwen-GR00T-Bridge,L,6000,pre_llm_vt,proprio_seq_dtw,25,0.039977,0.035133
Qwen-GR00T-Bridge,L,6000,pre_llm_vt,proprio_seq_dtw,40,0.046251,0.039733
Qwen-GR00T-Bridge,L,6000,pre_llm_vt,proprio_seq_dtw,75,0.059086,0.047567
Qwen-GR00T-Bridge,L,6000,pre_llm_vt,proprio_seq_dtw,110,0.071055,0.054317
Qwen-GR00T-Bridge,L,6000,pre_llm_vt,proprio_seq_dtw,150,0.081983,0.059333
Qwen-GR00T-Bridge,L,6000,pre_llm_vt,proprio_seq_dtw,220,0.092122,0.065567
Qwen-GR00T-Bridge,L,6000,img,proprio_seq_dtw,1,0.034329,0.030583
Qwen-GR00T-Bridge,L,6000,img,proprio_seq_dtw,3,0.034362,0.030533
Qwen-GR00T-Bridge,L,6000,img,proprio_seq_dtw,7,0.035425,0.031167
Qwen-GR00T-Bridge,L,6000,img,proprio_seq_dtw,15,0.039032,0.032917
Qwen-GR00T-Bridge,L,6000,img,proprio_seq_dtw,25,0.04282,0.034917
Qwen-GR00T-Bridge,L,6000,img,proprio_seq_dtw,40,0.048955,0.0383
Qwen-GR00T-Bridge,L,6000,img,proprio_seq_dtw,75,0.06233,0.045683
Qwen-GR00T-Bridge,L,6000,img,proprio_seq_dtw,110,0.073757,0.051617
Qwen-GR00T-Bridge,L,6000,img,proprio_seq_dtw,150,0.084307,0.056083
Qwen-GR00T-Bridge,L,6000,img,proprio_seq_dtw,220,0.093355,0.06055
Qwen-GR00T-Bridge,L,6000,txt,proprio_seq_dtw,1,0.018373,0.016133
Qwen-GR00T-Bridge,L,6000,txt,proprio_seq_dtw,3,0.018794,0.0163
Qwen-GR00T-Bridge,L,6000,txt,proprio_seq_dtw,7,0.019224,0.017017
Qwen-GR00T-Bridge,L,6000,txt,proprio_seq_dtw,15,0.022107,0.0186
Qwen-GR00T-Bridge,L,6000,txt,proprio_seq_dtw,25,0.025019,0.019333
Qwen-GR00T-Bridge,L,6000,txt,proprio_seq_dtw,40,0.029802,0.022
Qwen-GR00T-Bridge,L,6000,txt,proprio_seq_dtw,75,0.038659,0.02695
Qwen-GR00T-Bridge,L,6000,txt,proprio_seq_dtw,110,0.046351,0.031317
Qwen-GR00T-Bridge,L,6000,txt,proprio_seq_dtw,150,0.052709,0.0352
Qwen-GR00T-Bridge,L,6000,txt,proprio_seq_dtw,220,0.059116,0.039733
Qwen-GR00T-Bridge,L,6000,imgtext,proprio_seq_dtw,1,0.034491,0.03055
Qwen-GR00T-Bridge,L,6000,imgtext,proprio_seq_dtw,3,0.034488,0.030867
Qwen-GR00T-Bridge,L,6000,imgtext,proprio_seq_dtw,7,0.036336,0.03155
Qwen-GR00T-Bridge,L,6000,imgtext,proprio_seq_dtw,15,0.039577,0.0331
Qwen-GR00T-Bridge,L,6000,imgtext,proprio_seq_dtw,25,0.043279,0.035317
Qwen-GR00T-Bridge,L,6000,imgtext,proprio_seq_dtw,40,0.050962,0.039267
Qwen-GR00T-Bridge,L,6000,imgtext,proprio_seq_dtw,75,0.065127,0.046633
Qwen-GR00T-Bridge,L,6000,imgtext,proprio_seq_dtw,110,0.075838,0.052767
Qwen-GR00T-Bridge,L,6000,imgtext,proprio_seq_dtw,150,0.086246,0.05715
Qwen-GR00T-Bridge,L,6000,imgtext,proprio_seq_dtw,220,0.097176,0.061583
Qwen-GR00T-Bridge-RT-1,L,6000,vit_raw,proprio_seq_dtw,1,0.034038,0.0304
Qwen-GR00T-Bridge-RT-1,L,6000,vit_raw,proprio_seq_dtw,3,0.033724,0.03045
Qwen-GR00T-Bridge-RT-1,L,6000,vit_raw,proprio_seq_dtw,7,0.035463,0.03145
Qwen-GR00T-Bridge-RT-1,L,6000,vit_raw,proprio_seq_dtw,15,0.038898,0.033483
Qwen-GR00T-Bridge-RT-1,L,6000,vit_raw,proprio_seq_dtw,25,0.042111,0.0353
Qwen-GR00T-Bridge-RT-1,L,6000,vit_raw,proprio_seq_dtw,40,0.049018,0.039917
Qwen-GR00T-Bridge-RT-1,L,6000,vit_raw,proprio_seq_dtw,75,0.062318,0.048217
Qwen-GR00T-Bridge-RT-1,L,6000,vit_raw,proprio_seq_dtw,110,0.074924,0.055467
Qwen-GR00T-Bridge-RT-1,L,6000,vit_raw,proprio_seq_dtw,150,0.085934,0.06065
Qwen-GR00T-Bridge-RT-1,L,6000,vit_raw,proprio_seq_dtw,220,0.09679,0.066867
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm,proprio_seq_dtw,1,0.033574,0.031017
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm,proprio_seq_dtw,3,0.033019,0.030917
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm,proprio_seq_dtw,7,0.034538,0.031767
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm,proprio_seq_dtw,15,0.037616,0.03385
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm,proprio_seq_dtw,25,0.040907,0.035733
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm,proprio_seq_dtw,40,0.047157,0.04
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm,proprio_seq_dtw,75,0.059447,0.04755
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm,proprio_seq_dtw,110,0.072296,0.054333
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm,proprio_seq_dtw,150,0.08258,0.059483
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm,proprio_seq_dtw,220,0.092502,0.064717
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm_txt,proprio_seq_dtw,1,0.006711,0.007817
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm_txt,proprio_seq_dtw,3,0.006862,0.0078
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm_txt,proprio_seq_dtw,7,0.007699,0.008333
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm_txt,proprio_seq_dtw,15,0.009109,0.009617
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm_txt,proprio_seq_dtw,25,0.01028,0.01065
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm_txt,proprio_seq_dtw,40,0.012748,0.012617
Qwen-GR00T-Bridge-RT-1,L,6000,pre_llm_txt,proprio_seq_dtw,75,0.017246,0.015517
