model,k,horizon,cknna,success_rate
Qwen-GR00T-Bridge,2,1,0.031226,71.4
Qwen-GR00T-Bridge,2,3,0.030361,71.4
Qwen-GR00T-Bridge,2,7,0.031625,71.4
Qwen-GR00T-Bridge,2,15,0.035428,71.4
Qwen-GR00T-Bridge,2,25,0.045138,71.4
Qwen-GR00T-Bridge,2,40,0.049098,71.4
Qwen-GR00T-Bridge-RT-1,2,1,0.029555,63.6
Qwen-GR00T-Bridge-RT-1,2,3,0.028374,63.6
Qwen-GR00T-Bridge-RT-1,2,7,0.029908,63.6
Qwen-GR00T-Bridge-RT-1,2,15,0.033656,63.6
Qwen-GR00T-Bridge-RT-1,2,25,0.041242,63.6
Qwen-GR00T-Bridge-RT-1,2,40,0.045301,63.6
Qwen-OFT-Bridge-RT-1,2,1,0.019123,44.2
Qwen-OFT-Bridge-RT-1,2,3,0.019273,44.2
Qwen-OFT-Bridge-RT-1,2,7,0.020579,44.2
Qwen-OFT-Bridge-RT-1,2,15,0.02342,44.2
Qwen-OFT-Bridge-RT-1,2,25,0.028389,44.2
Qwen-OFT-Bridge-RT-1,2,40,0.033321,44.2
Qwen3VL-GR00T-Bridge-RT-1,2,1,0.023871,65.3
Qwen3VL-GR00T-Bridge-RT-1,2,3,0.023057,65.3
Qwen3VL-GR00T-Bridge-RT-1,2,7,0.023143,65.3
Qwen3VL-GR00T-Bridge-RT-1,2,15,0.025781,65.3
Qwen3VL-GR00T-Bridge-RT-1,2,25,0.033322,65.3
Qwen3VL-GR00T-Bridge-RT-1,2,40,0.038552,65.3
Qwen3VL-OFT-Bridge-RT-1,2,1,0.018362,42.7
Qwen3VL-OFT-Bridge-RT-1,2,3,0.016885,42.7
Qwen3VL-OFT-Bridge-RT-1,2,7,0.01747,42.7
Qwen3VL-OFT-Bridge-RT-1,2,15,0.022214,42.7
Qwen3VL-OFT-Bridge-RT-1,2,25,0.026344,42.7
Qwen3VL-OFT-Bridge-RT-1,2,40,0.031061,42.7
cogact-small-bridge,2,1,0.027963,51.0
cogact-small-bridge,2,3,0.027848,51.0
cogact-small-bridge,2,7,0.028595,51.0
cogact-small-bridge,2,15,0.030713,51.0
cogact-small-bridge,2,25,0.038219,51.0
cogact-small-bridge,2,40,0.044603,51.0
cogact-base-bridge,2,1,0.029392,51.3
cogact-base-bridge,2,3,0.028977,51.3
cogact-base-bridge,2,7,0.029067,51.3
cogact-base-bridge,2,15,0.031208,51.3
cogact-base-bridge,2,25,0.038628,51.3
cogact-base-bridge,2,40,0.043103,51.3
cogact-large-bridge,2,1,0.029077,58.3
cogact-large-bridge,2,3,0.028303,58.3
cogact-large-bridge,2,7,0.028034,58.3
cogact-large-bridge,2,15,0.03055,58.3
cogact-large-bridge,2,25,0.039079,58.3
cogact-large-bridge,2,40,0.046107,58.3
spatialvla-sft-bridge,2,1,0.015933,42.7
spatialvla-sft-bridge,2,3,0.014834,42.7
spatialvla-sft-bridge,2,7,0.015892,42.7
spatialvla-sft-bridge,2,15,0.016026,42.7
spatialvla-sft-bridge,2,25,0.022411,42.7
spatialvla-sft-bridge,2,40,0.028752,42.7
pi0-lerobot-bridge,2,1,0.014607,47.9
pi0-lerobot-bridge,2,3,0.014396,47.9
pi0-lerobot-bridge,2,7,0.013619,47.9
pi0-lerobot-bridge,2,15,0.018266,47.9
pi0-lerobot-bridge,2,25,0.021691,47.9
pi0-lerobot-bridge,2,40,0.0252,47.9
groot-n15-bridge,2,1,0.01845,36.5
groot-n15-bridge,2,3,0.016429,36.5
groot-n15-bridge,2,7,0.016365,36.5
groot-n15-bridge,2,15,0.020214,36.5
groot-n15-bridge,2,25,0.02548,36.5
groot-n15-bridge,2,40,0.029345,36.5
groot-n16-bridge,2,1,0.015896,57.1
groot-n16-bridge,2,3,0.015333,57.1
groot-n16-bridge,2,7,0.016635,57.1
groot-n16-bridge,2,15,0.016391,57.1
groot-n16-bridge,2,25,0.021563,57.1
groot-n16-bridge,2,40,0.025266,57.1
