k,h,n,r,p_one
2,1,12,0.6561905065754284,0.010240995829293567
2,3,12,0.6648573816479819,0.00916398376761686
2,7,12,0.6787053716275113,0.007618632720877716
2,15,12,0.6423470013323337,0.01214883571538027
2,25,12,0.6833983046167424,0.00714138408394041
2,40,12,0.6516882177501007,0.010835573977819344
5,1,12,0.6828295145709614,0.007198019708098736
5,3,12,0.6830246444486813,0.007178553013729873
5,7,12,0.6674585690168429,0.008857591627014955
5,15,12,0.6758193235397572,0.0079235526304239
5,25,12,0.6837451422151837,0.007107010522364664
5,40,12,0.6782049367588199,0.007670875179257763
10,1,12,0.6917420683595998,0.006347835441928573
10,3,12,0.6992256777739395,0.005693395042072842
10,7,12,0.7172969315713411,0.004320207196080638
10,15,12,0.6956645852714175,0.0059982337732094725
10,25,12,0.6885639504958347,0.006641970136211258
10,40,12,0.6829324924930541,0.007187741500357594
15,1,12,0.6759359160146284,0.007911063091453716
15,3,12,0.6703139954018528,0.008529975349679829
15,7,12,0.6654476060345433,0.009093790994282713
15,15,12,0.6588200301734167,0.009904957198921975
15,25,12,0.6521510621196668,0.01077331822297826
15,40,12,0.6393686300006077,0.012590818998234792
20,1,12,0.6638293899706088,0.009287184641117968
20,3,12,0.657459459961062,0.01007780832277194
20,7,12,0.6439593634633479,0.011914318475557168
20,15,12,0.6510033965455492,0.010928167343959362
20,25,12,0.6452508287827059,0.011728860294295563
20,40,12,0.6260971634756513,0.01470287767519572
