panel,model,x_sima,y_sr
VLA,Qwen-GR00T-Bridge,0.036336,71.4
VLA,Qwen-GR00T-Bridge-RT-1,0.035318,63.6
VLA,Qwen-OFT-Bridge-RT-1,0.024196,44.2
VLA,Qwen3VL-GR00T-Bridge-RT-1,0.029174,65.3
VLA,Qwen3VL-OFT-Bridge-RT-1,0.025381,42.7
VLA,cogact-base-bridge,0.032419,51.3
VLA,cogact-large-bridge,0.032802,58.3
VLA,cogact-small-bridge,0.031852,51.0
VLA,groot-n15-bridge,0.024013,36.5
VLA,groot-n16-bridge,0.025535,57.1
VLA,pi0-lerobot-bridge,0.017397,47.9
VLA,spatialvla-sft-bridge,0.02173,42.7
VLM,kosmos2-raw,0.020887,60.4
VLM,paligemma1-raw,0.018408,55.3
VLM,paligemma2-raw,0.01943,57.3
VLM,qwen25vl-3b-raw,0.017806,48.0
VLM,qwen25vl-7b-raw,0.017486,46.8
VLM,qwen3vl-2b-raw,0.01993,49.0
VLM,qwen3vl-4b-raw,0.021067,56.3
VLM,qwen3vl-8b-raw,0.019465,58.3
WAM,LingBot-VA,0.169906,92.25
WAM,Motus,0.164073,87.85
WAM,Vidar,0.099013,41.65
