model,feature_source,vlm_variant_used,horizon,cknna_k10,robotwin_sr_easy,robotwin_sr_hard,robotwin_sr_avg
lingbot-va-posttrain-robotwin,V-D1,,1,0.129741,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-D1,,1,0.115435,88.7,87.0,87.85
xvla-robotwin2,V-D1,imgtext,1,0.469821,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-D1,imgtext,1,0.420960,50.38,,50.38
abot-m0-robotwin2,V-D1,imgtext,1,0.429929,80.42,81.16,80.79
vidar_aloha_native,V-D1,,1,0.071638,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-D1,,3,0.129304,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-D1,,3,0.115766,88.7,87.0,87.85
xvla-robotwin2,V-D1,imgtext,3,0.468762,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-D1,imgtext,3,0.419963,50.38,,50.38
abot-m0-robotwin2,V-D1,imgtext,3,0.430427,80.42,81.16,80.79
vidar_aloha_native,V-D1,,3,0.071422,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-D1,,7,0.132139,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-D1,,7,0.116932,88.7,87.0,87.85
xvla-robotwin2,V-D1,imgtext,7,0.470188,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-D1,imgtext,7,0.423339,50.38,,50.38
abot-m0-robotwin2,V-D1,imgtext,7,0.429285,80.42,81.16,80.79
vidar_aloha_native,V-D1,,7,0.076451,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-D1,,15,0.129608,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-D1,,15,0.114899,88.7,87.0,87.85
xvla-robotwin2,V-D1,imgtext,15,0.470652,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-D1,imgtext,15,0.424305,50.38,,50.38
abot-m0-robotwin2,V-D1,imgtext,15,0.433871,80.42,81.16,80.79
vidar_aloha_native,V-D1,,15,0.079332,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-D1,,25,0.132872,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-D1,,25,0.118828,88.7,87.0,87.85
xvla-robotwin2,V-D1,imgtext,25,0.467989,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-D1,imgtext,25,0.428913,50.38,,50.38
abot-m0-robotwin2,V-D1,imgtext,25,0.435674,80.42,81.16,80.79
vidar_aloha_native,V-D1,,25,0.079932,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-D1,,40,0.131133,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-D1,,40,0.118163,88.7,87.0,87.85
xvla-robotwin2,V-D1,imgtext,40,0.462332,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-D1,imgtext,40,0.431613,50.38,,50.38
abot-m0-robotwin2,V-D1,imgtext,40,0.432660,80.42,81.16,80.79
vidar_aloha_native,V-D1,,40,0.080938,65.8,17.5,41.65
