model,feature_source,vlm_variant_used,horizon,cknna_k10,robotwin_sr_easy,robotwin_sr_hard,robotwin_sr_avg
lingbot-va-posttrain-robotwin,V-D1,,1,0.003326,92.9,91.6,92.25
motus-robotwin2-lingbot,V-D1,,1,0.008078,88.7,87.0,87.85
xvla-robotwin2,V-D1,imgtext,1,0.027974,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-D1,imgtext,1,0.023777,50.38,,50.38
abot-m0-robotwin2,V-D1,imgtext,1,0.024561,80.42,81.16,80.79
vidar_3cam_modeB,V-D1,,1,0.005158,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-D1,,3,0.003329,92.9,91.6,92.25
motus-robotwin2-lingbot,V-D1,,3,0.008205,88.7,87.0,87.85
xvla-robotwin2,V-D1,imgtext,3,0.028085,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-D1,imgtext,3,0.023804,50.38,,50.38
abot-m0-robotwin2,V-D1,imgtext,3,0.024935,80.42,81.16,80.79
vidar_3cam_modeB,V-D1,,3,0.005017,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-D1,,7,0.003474,92.9,91.6,92.25
motus-robotwin2-lingbot,V-D1,,7,0.008251,88.7,87.0,87.85
xvla-robotwin2,V-D1,imgtext,7,0.030164,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-D1,imgtext,7,0.024785,50.38,,50.38
abot-m0-robotwin2,V-D1,imgtext,7,0.026629,80.42,81.16,80.79
vidar_3cam_modeB,V-D1,,7,0.005123,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-D1,,15,0.004059,92.9,91.6,92.25
motus-robotwin2-lingbot,V-D1,,15,0.009325,88.7,87.0,87.85
xvla-robotwin2,V-D1,imgtext,15,0.033544,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-D1,imgtext,15,0.027887,50.38,,50.38
abot-m0-robotwin2,V-D1,imgtext,15,0.028972,80.42,81.16,80.79
vidar_3cam_modeB,V-D1,,15,0.005590,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-D1,,25,0.005640,92.9,91.6,92.25
motus-robotwin2-lingbot,V-D1,,25,0.011331,88.7,87.0,87.85
xvla-robotwin2,V-D1,imgtext,25,0.036773,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-D1,imgtext,25,0.030515,50.38,,50.38
abot-m0-robotwin2,V-D1,imgtext,25,0.032086,80.42,81.16,80.79
vidar_3cam_modeB,V-D1,,25,0.005672,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-D1,,40,0.006107,92.9,91.6,92.25
motus-robotwin2-lingbot,V-D1,,40,0.013332,88.7,87.0,87.85
xvla-robotwin2,V-D1,imgtext,40,0.043632,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-D1,imgtext,40,0.037335,50.38,,50.38
abot-m0-robotwin2,V-D1,imgtext,40,0.038159,80.42,81.16,80.79
vidar_3cam_modeB,V-D1,,40,0.006333,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-D1,,75,0.006485,92.9,91.6,92.25
motus-robotwin2-lingbot,V-D1,,75,0.017656,88.7,87.0,87.85
xvla-robotwin2,V-D1,imgtext,75,0.057561,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-D1,imgtext,75,0.049523,50.38,,50.38
abot-m0-robotwin2,V-D1,imgtext,75,0.049968,80.42,81.16,80.79
vidar_3cam_modeB,V-D1,,75,0.008558,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-D1,,110,0.008045,92.9,91.6,92.25
motus-robotwin2-lingbot,V-D1,,110,0.021841,88.7,87.0,87.85
xvla-robotwin2,V-D1,imgtext,110,0.069072,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-D1,imgtext,110,0.061125,50.38,,50.38
abot-m0-robotwin2,V-D1,imgtext,110,0.062665,80.42,81.16,80.79
vidar_3cam_modeB,V-D1,,110,0.010420,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-D1,,150,0.009861,92.9,91.6,92.25
motus-robotwin2-lingbot,V-D1,,150,0.023598,88.7,87.0,87.85
xvla-robotwin2,V-D1,imgtext,150,0.078711,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-D1,imgtext,150,0.072623,50.38,,50.38
abot-m0-robotwin2,V-D1,imgtext,150,0.074039,80.42,81.16,80.79
vidar_3cam_modeB,V-D1,,150,0.011299,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-D1,,220,0.011546,92.9,91.6,92.25
motus-robotwin2-lingbot,V-D1,,220,0.028440,88.7,87.0,87.85
xvla-robotwin2,V-D1,imgtext,220,0.091810,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-D1,imgtext,220,0.085443,50.38,,50.38
abot-m0-robotwin2,V-D1,imgtext,220,0.086349,80.42,81.16,80.79
vidar_3cam_modeB,V-D1,,220,0.012864,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B0,,1,0.004581,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B0,,1,0.010418,88.7,87.0,87.85
xvla-robotwin2,V-B0,imgtext,1,0.027974,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B0,imgtext,1,0.023777,50.38,,50.38
abot-m0-robotwin2,V-B0,imgtext,1,0.024561,80.42,81.16,80.79
vidar_3cam_modeB,V-B0,,1,0.005283,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B0,,3,0.004586,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B0,,3,0.010605,88.7,87.0,87.85
xvla-robotwin2,V-B0,imgtext,3,0.028085,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B0,imgtext,3,0.023804,50.38,,50.38
abot-m0-robotwin2,V-B0,imgtext,3,0.024935,80.42,81.16,80.79
vidar_3cam_modeB,V-B0,,3,0.005360,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B0,,7,0.004739,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B0,,7,0.010367,88.7,87.0,87.85
xvla-robotwin2,V-B0,imgtext,7,0.030164,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B0,imgtext,7,0.024785,50.38,,50.38
abot-m0-robotwin2,V-B0,imgtext,7,0.026629,80.42,81.16,80.79
vidar_3cam_modeB,V-B0,,7,0.005755,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B0,,15,0.005093,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B0,,15,0.012088,88.7,87.0,87.85
xvla-robotwin2,V-B0,imgtext,15,0.033544,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B0,imgtext,15,0.027887,50.38,,50.38
