model,group,N,feats_A_variant,feats_B_type,horizon,cknna_k10,mutual_knn_k10
kosmos2-raw,L,6000,vit_raw,proprio_seq_dtw,1,0.024283,0.022967
kosmos2-raw,L,6000,vit_raw,proprio_seq_dtw,3,0.024085,0.023133
kosmos2-raw,L,6000,vit_raw,proprio_seq_dtw,7,0.025718,0.0241
kosmos2-raw,L,6000,vit_raw,proprio_seq_dtw,15,0.028261,0.02555
kosmos2-raw,L,6000,vit_raw,proprio_seq_dtw,25,0.03104,0.027517
kosmos2-raw,L,6000,vit_raw,proprio_seq_dtw,40,0.037674,0.03265
kosmos2-raw,L,6000,vit_raw,proprio_seq_dtw,75,0.049352,0.041367
kosmos2-raw,L,6000,vit_raw,proprio_seq_dtw,110,0.06255,0.049317
kosmos2-raw,L,6000,vit_raw,proprio_seq_dtw,150,0.074188,0.056217
kosmos2-raw,L,6000,vit_raw,proprio_seq_dtw,220,0.086836,0.0643
kosmos2-raw,L,6000,pre_llm,proprio_seq_dtw,1,0.022843,0.021333
kosmos2-raw,L,6000,pre_llm,proprio_seq_dtw,3,0.022696,0.021467
kosmos2-raw,L,6000,pre_llm,proprio_seq_dtw,7,0.023837,0.022417
kosmos2-raw,L,6000,pre_llm,proprio_seq_dtw,15,0.027032,0.02385
kosmos2-raw,L,6000,pre_llm,proprio_seq_dtw,25,0.029499,0.025783
kosmos2-raw,L,6000,pre_llm,proprio_seq_dtw,40,0.034296,0.029717
kosmos2-raw,L,6000,pre_llm,proprio_seq_dtw,75,0.045906,0.036933
kosmos2-raw,L,6000,pre_llm,proprio_seq_dtw,110,0.058242,0.044283
kosmos2-raw,L,6000,pre_llm,proprio_seq_dtw,150,0.068929,0.04995
kosmos2-raw,L,6000,pre_llm,proprio_seq_dtw,220,0.080399,0.05655
kosmos2-raw,L,6000,pre_llm_txt,proprio_seq_dtw,1,0.008774,0.009333
kosmos2-raw,L,6000,pre_llm_txt,proprio_seq_dtw,3,0.008853,0.009283
kosmos2-raw,L,6000,pre_llm_txt,proprio_seq_dtw,7,0.009398,0.009633
kosmos2-raw,L,6000,pre_llm_txt,proprio_seq_dtw,15,0.011076,0.011117
