view,x,x_unit,model,sima
denoising_pct,0,pct_of_schedule,Motus,0.425
denoising_pct,25,pct_of_schedule,Motus,0.426
denoising_pct,50,pct_of_schedule,Motus,0.421
denoising_pct,75,pct_of_schedule,Motus,0.41
denoising_pct,100,pct_of_schedule,Motus,0.402
denoising_pct,0,pct_of_schedule,LingBot-VA,0.425
denoising_pct,25,pct_of_schedule,LingBot-VA,0.434
denoising_pct,50,pct_of_schedule,LingBot-VA,0.443
denoising_pct,75,pct_of_schedule,LingBot-VA,0.448
denoising_pct,100,pct_of_schedule,LingBot-VA,0.451
denoising_pct,0,pct_of_schedule,Vidar,0.487
denoising_pct,25,pct_of_schedule,Vidar,0.486
denoising_pct,50,pct_of_schedule,Vidar,0.48
denoising_pct,75,pct_of_schedule,Vidar,0.478
denoising_pct,100,pct_of_schedule,Vidar,0.476
layerwise,0,video_transformer_block,Motus,0.388
layerwise,7,video_transformer_block,Motus,0.426
layerwise,14,video_transformer_block,Motus,0.483
layerwise,21,video_transformer_block,Motus,0.473
layerwise,29,video_transformer_block,Motus,0.414
layerwise,0,video_transformer_block,LingBot-VA,0.358
layerwise,7,video_transformer_block,LingBot-VA,0.435
layerwise,14,video_transformer_block,LingBot-VA,0.488
layerwise,21,video_transformer_block,LingBot-VA,0.473
layerwise,29,video_transformer_block,LingBot-VA,0.401
layerwise,0,video_transformer_block,Vidar,0.451
layerwise,7,video_transformer_block,Vidar,0.49
layerwise,14,video_transformer_block,Vidar,0.532
layerwise,21,video_transformer_block,Vidar,0.521
layerwise,29,video_transformer_block,Vidar,0.448
