model,group,N,feats_A_variant,feats_B_type,horizon,cknna_k10,mutual_knn_k10
vjepa-v1-vith-realclip,L,4890,vit_raw,proprio_seq_dtw,1,0.028065,0.025787
vjepa-v1-vith-realclip,L,4890,vit_raw,proprio_seq_dtw,3,0.027601,0.025644
vjepa-v1-vith-realclip,L,4890,vit_raw,proprio_seq_dtw,7,0.029513,0.026728
vjepa-v1-vith-realclip,L,4890,vit_raw,proprio_seq_dtw,15,0.031836,0.028773
vjepa-v1-vith-realclip,L,4890,vit_raw,proprio_seq_dtw,25,0.03511,0.031104
vjepa-v1-vith-realclip,L,4890,vit_raw,proprio_seq_dtw,40,0.042278,0.035399
vjepa-v1-vitl-realclip,L,4890,vit_raw,proprio_seq_dtw,1,0.028039,0.025971
vjepa-v1-vitl-realclip,L,4890,vit_raw,proprio_seq_dtw,3,0.027635,0.025992
vjepa-v1-vitl-realclip,L,4890,vit_raw,proprio_seq_dtw,7,0.029715,0.026953
vjepa-v1-vitl-realclip,L,4890,vit_raw,proprio_seq_dtw,15,0.033132,0.029836
vjepa-v1-vitl-realclip,L,4890,vit_raw,proprio_seq_dtw,25,0.036501,0.032065
vjepa-v1-vitl-realclip,L,4890,vit_raw,proprio_seq_dtw,40,0.043971,0.036851
vjepa2-1-vitg-realclip,L,4890,vit_raw,proprio_seq_dtw,1,0.026532,0.02456
vjepa2-1-vitg-realclip,L,4890,vit_raw,proprio_seq_dtw,3,0.025996,0.024663
vjepa2-1-vitg-realclip,L,4890,vit_raw,proprio_seq_dtw,7,0.027658,0.025726
vjepa2-1-vitg-realclip,L,4890,vit_raw,proprio_seq_dtw,15,0.030714,0.027975
vjepa2-1-vitg-realclip,L,4890,vit_raw,proprio_seq_dtw,25,0.03399,0.029673
vjepa2-1-vitg-realclip,L,4890,vit_raw,proprio_seq_dtw,40,0.040716,0.034601
vjepa2-1-vitl-realclip,L,4890,vit_raw,proprio_seq_dtw,1,0.026791,0.026544
vjepa2-1-vitl-realclip,L,4890,vit_raw,proprio_seq_dtw,3,0.026742,0.026646
vjepa2-1-vitl-realclip,L,4890,vit_raw,proprio_seq_dtw,7,0.028724,0.027607
vjepa2-1-vitl-realclip,L,4890,vit_raw,proprio_seq_dtw,15,0.032439,0.030164
vjepa2-1-vitl-realclip,L,4890,vit_raw,proprio_seq_dtw,25,0.035979,0.03229
vjepa2-1-vitl-realclip,L,4890,vit_raw,proprio_seq_dtw,40,0.043237,0.037178
vjepa2-vitg-realclip,L,4890,vit_raw,proprio_seq_dtw,1,0.032076,0.027935
vjepa2-vitg-realclip,L,4890,vit_raw,proprio_seq_dtw,3,0.030873,0.027464
vjepa2-vitg-realclip,L,4890,vit_raw,proprio_seq_dtw,7,0.032414,0.028405
vjepa2-vitg-realclip,L,4890,vit_raw,proprio_seq_dtw,15,0.03548,0.030573
vjepa2-vitg-realclip,L,4890,vit_raw,proprio_seq_dtw,25,0.039271,0.033211
vjepa2-vitg-realclip,L,4890,vit_raw,proprio_seq_dtw,40,0.046759,0.038323
vjepa2-vitg-realclip-lasttube,L,4890,vit_raw,proprio_seq_dtw,1,0.0324,0.02773
vjepa2-vitg-realclip-lasttube,L,4890,vit_raw,proprio_seq_dtw,3,0.0325,0.02771
vjepa2-vitg-realclip-lasttube,L,4890,vit_raw,proprio_seq_dtw,7,0.033844,0.02863
vjepa2-vitg-realclip-lasttube,L,4890,vit_raw,proprio_seq_dtw,15,0.036074,0.030654
vjepa2-vitg-realclip-lasttube,L,4890,vit_raw,proprio_seq_dtw,25,0.039191,0.032229
vjepa2-vitg-realclip-lasttube,L,4890,vit_raw,proprio_seq_dtw,40,0.044709,0.035685
vjepa2-vith-realclip,L,4890,vit_raw,proprio_seq_dtw,1,0.029322,0.027505
vjepa2-vith-realclip,L,4890,vit_raw,proprio_seq_dtw,3,0.029406,0.027607
vjepa2-vith-realclip,L,4890,vit_raw,proprio_seq_dtw,7,0.030952,0.028446
vjepa2-vith-realclip,L,4890,vit_raw,proprio_seq_dtw,15,0.033874,0.03092
vjepa2-vith-realclip,L,4890,vit_raw,proprio_seq_dtw,25,0.037558,0.033006
vjepa2-vith-realclip,L,4890,vit_raw,proprio_seq_dtw,40,0.045211,0.038364
vjepa2-vitl-realclip,L,4890,vit_raw,proprio_seq_dtw,1,0.028688,0.026544
vjepa2-vitl-realclip,L,4890,vit_raw,proprio_seq_dtw,3,0.028379,0.026503
vjepa2-vitl-realclip,L,4890,vit_raw,proprio_seq_dtw,7,0.029708,0.027423
vjepa2-vitl-realclip,L,4890,vit_raw,proprio_seq_dtw,15,0.034074,0.030593
vjepa2-vitl-realclip,L,4890,vit_raw,proprio_seq_dtw,25,0.037915,0.033088
vjepa2-vitl-realclip,L,4890,vit_raw,proprio_seq_dtw,40,0.045372,0.038221
