model,group,N,feats_A_variant,feats_B_type,horizon,cknna_k10,mutual_knn_k10
vjepa-v1-vith-tiled,L,4890,vit_raw,proprio_seq_dtw,1,0.028152,0.026851
vjepa-v1-vith-tiled,L,4890,vit_raw,proprio_seq_dtw,3,0.028248,0.027157
vjepa-v1-vith-tiled,L,4890,vit_raw,proprio_seq_dtw,7,0.030247,0.027955
vjepa-v1-vith-tiled,L,4890,vit_raw,proprio_seq_dtw,15,0.033763,0.030573
vjepa-v1-vith-tiled,L,4890,vit_raw,proprio_seq_dtw,25,0.03653,0.032699
vjepa-v1-vith-tiled,L,4890,vit_raw,proprio_seq_dtw,40,0.04296,0.037342
vjepa-v1-vitl-tiled,L,4890,vit_raw,proprio_seq_dtw,1,0.027802,0.026319
vjepa-v1-vitl-tiled,L,4890,vit_raw,proprio_seq_dtw,3,0.027357,0.026708
vjepa-v1-vitl-tiled,L,4890,vit_raw,proprio_seq_dtw,7,0.028784,0.027526
vjepa-v1-vitl-tiled,L,4890,vit_raw,proprio_seq_dtw,15,0.03366,0.02998
vjepa-v1-vitl-tiled,L,4890,vit_raw,proprio_seq_dtw,25,0.036748,0.032249
vjepa-v1-vitl-tiled,L,4890,vit_raw,proprio_seq_dtw,40,0.043025,0.037014
vjepa2-1-vitg-tiled,L,4890,vit_raw,proprio_seq_dtw,1,0.028452,0.026851
vjepa2-1-vitg-tiled,L,4890,vit_raw,proprio_seq_dtw,3,0.027872,0.026769
vjepa2-1-vitg-tiled,L,4890,vit_raw,proprio_seq_dtw,7,0.029377,0.027423
vjepa2-1-vitg-tiled,L,4890,vit_raw,proprio_seq_dtw,15,0.033392,0.029857
vjepa2-1-vitg-tiled,L,4890,vit_raw,proprio_seq_dtw,25,0.036462,0.031922
vjepa2-1-vitg-tiled,L,4890,vit_raw,proprio_seq_dtw,40,0.042498,0.03681
vjepa2-1-vitl-tiled,L,4890,vit_raw,proprio_seq_dtw,1,0.028732,0.027239
vjepa2-1-vitl-tiled,L,4890,vit_raw,proprio_seq_dtw,3,0.028147,0.027321
vjepa2-1-vitl-tiled,L,4890,vit_raw,proprio_seq_dtw,7,0.029698,0.028037
vjepa2-1-vitl-tiled,L,4890,vit_raw,proprio_seq_dtw,15,0.033259,0.03047
vjepa2-1-vitl-tiled,L,4890,vit_raw,proprio_seq_dtw,25,0.036641,0.032883
vjepa2-1-vitl-tiled,L,4890,vit_raw,proprio_seq_dtw,40,0.043127,0.037751
vjepa2-vitg-tiled,L,4890,vit_raw,proprio_seq_dtw,1,0.02881,0.027301
vjepa2-vitg-tiled,L,4890,vit_raw,proprio_seq_dtw,3,0.028687,0.027546
vjepa2-vitg-tiled,L,4890,vit_raw,proprio_seq_dtw,7,0.030395,0.028282
vjepa2-vitg-tiled,L,4890,vit_raw,proprio_seq_dtw,15,0.033858,0.030225
vjepa2-vitg-tiled,L,4890,vit_raw,proprio_seq_dtw,25,0.037908,0.032658
vjepa2-vitg-tiled,L,4890,vit_raw,proprio_seq_dtw,40,0.044362,0.03728
vjepa2-vith-tiled,L,4890,vit_raw,proprio_seq_dtw,1,0.027247,0.02546
vjepa2-vith-tiled,L,4890,vit_raw,proprio_seq_dtw,3,0.026787,0.025808
vjepa2-vith-tiled,L,4890,vit_raw,proprio_seq_dtw,7,0.027894,0.026544
vjepa2-vith-tiled,L,4890,vit_raw,proprio_seq_dtw,15,0.031533,0.028569
vjepa2-vith-tiled,L,4890,vit_raw,proprio_seq_dtw,25,0.034597,0.031166
vjepa2-vith-tiled,L,4890,vit_raw,proprio_seq_dtw,40,0.041143,0.035378
vjepa2-vitl-tiled,L,4890,vit_raw,proprio_seq_dtw,1,0.028313,0.025215
vjepa2-vitl-tiled,L,4890,vit_raw,proprio_seq_dtw,3,0.027981,0.025481
vjepa2-vitl-tiled,L,4890,vit_raw,proprio_seq_dtw,7,0.029254,0.026319
vjepa2-vitl-tiled,L,4890,vit_raw,proprio_seq_dtw,15,0.033412,0.028957
vjepa2-vitl-tiled,L,4890,vit_raw,proprio_seq_dtw,25,0.037168,0.031309
vjepa2-vitl-tiled,L,4890,vit_raw,proprio_seq_dtw,40,0.044117,0.036319
